id,code,name,slug,region,subLocation,type,priceFrom,priceTo,currency,pricePerM2,sizeFrom,sizeTo,bedrooms,bathrooms,reserveAmount,roi,confotur,airbnbFriendly,delivery,security,featured,image
ciasa-001-pc,CIASA 001 - PC,Marina Garden 2,marina-garden-2,punta-cana,"La Marina, Cap Cana",apartamento,630000,630000,USD,,183.07,183.07,2,,5000,7.4%,true,true,Diciembre 2025,true,true,assets/images/projects/marina-garden-2.jpg
ciasa-002-pc,CIASA 002 - PC,Wave Garden,wave-garden,punta-cana,Blvd Zona Hotelera,apartamento,350000,690000,USD,,62,93,1,,5000,11.2%,true,true,Abril 2025,true,true,assets/images/projects/wave-garden.jpg
ciasa-003-pc,CIASA 003 - PC,Secret Garden,secret-garden,punta-cana,"El Cortecito, Bavaro",apartamento,240000,435000,USD,,83,192,2,,5000,6%,true,true,Diciembre 2025,true,false,assets/images/projects/secret-garden.jpg
ciasa-004-pc,CIASA 004 - PC,Cassia,cassia,punta-cana,"El Cortecito, Bavaro",apartamento,225000,225000,USD,,45,45,,,5000,10%,false,false,Marzo 2026,true,true,assets/images/projects/cassia.jpg
ciasa-005-pc,CIASA 005 - PC,Moon Garden,moon-garden,punta-cana,"El Cortecito, Bavaro",apartamento,200000,447000,USD,,68,170,1-3,,5000,9%,true,true,Enero 2027,true,false,assets/images/projects/moon-garden.jpg
ciasa-006-pc,CIASA 006 - PC,Moon Garden 2,moon-garden-2,punta-cana,Cabeza de Toro,apartamento,280000,504000,USD,,83,209,2-3,,5000,9%,true,true,Septiembre 2027,true,false,assets/images/projects/moon-garden-2.jpg
ciasa-007-pc,CIASA 007 - PC,Crystal Garden,crystal-garden,punta-cana,Cap Cana,apartamento,475000,498000,USD,,105,131,2-3,,5000,5.6%,false,true,Agosto 2027,true,false,assets/images/projects/crystal-garden.jpg
ciasa-008-pc,CIASA 008 - PC,Sun Garden,sun-garden,punta-cana,Cabeza de Toro,apartamento,158000,499000,USD,,45,189,1-3,,5000,9.4%,true,true,Septiembre 2028,true,false,assets/images/projects/sun-garden.jpg
ciasa-009-pc,CIASA 009 - PC,Level Business Center,level-business-center,punta-cana,Cap Cana,comercial,238000,510000,USD,,60,122,,,5000,,false,false,Octubre 2027,true,false,assets/images/projects/level-business-center.jpg
ciasa-010-pc,CIASA 010 - PC,Pueblito Caribeno,pueblito-caribeno,punta-cana,"Vista Cana, Bavaro",apartamento,170000,327000,USD,,64,224,1-2,,1000,,false,true,Junio 2027,true,false,assets/images/projects/pueblito-caribeno.jpg
ciasa-011-pc,CIASA 011 - PC,Qurux Luxury Villas,qurux-luxury-villas,punta-cana,"Vista Cana, Bavaro",villa,596000,876000,USD,,298,438,2-3,,5000,,false,true,Octubre 2027,true,false,assets/images/projects/qurux-luxury-villas.jpg
ciasa-012-pc,CIASA 012 - PC,Zayes 2,zayes-2,punta-cana,"Vista Cana, Bavaro",villa,250000,297000,USD,,131,161,3,,1000,,false,true,Octubre 2026,true,false,assets/images/projects/zayes-2.jpg
ciasa-013-pc,CIASA 013 - PC,Casa Loto,casa-loto,punta-cana,"Vista Cana, Bavaro",villa,365000,475000,USD,,316,332,2-3,,3000,,false,true,Julio 2026,true,false,assets/images/projects/casa-loto.jpg
ciasa-014-pc,CIASA 014 - PC,Caicu,caicu,punta-cana,"Caoba, Punta Cana",apartamento,209000,582000,USD,,100,310,1-3,,2000,,true,true,Mayo 2028,true,false,assets/images/projects/caicu.jpg
ciasa-015-pc,CIASA 015 - PC,Tropic Golf Suites,tropic-golf-suites,punta-cana,"Vista Cana, Bavaro",apartamento,230000,230000,USD,,76,98,2,,10000,,false,true,,true,false,assets/images/projects/tropic-golf-suites.jpg
ciasa-016-pc,CIASA 016 - PC,Royal Gardens,royal-gardens,punta-cana,"Vista Cana, Bavaro",terreno,97000,142000,USD,,463,645,,,1000,,false,false,En Desarrollo,true,false,assets/images/projects/royal-gardens.jpg
ciasa-001-bay,CIASA 001 - BAY,Estrella Dominicus,estrella-dominicus,bayahibe,"Av. la Laguna, Bayahibe",apartamento,260000,340000,USD,,101,220,1-3,,5000,,false,true,,true,false,assets/images/projects/estrella-dominicus.jpg
ciasa-002-bay,CIASA 002 - BAY,Estrella Gardens Condos,estrella-gardens-condos,bayahibe,Dominicus,apartamento,165000,330000,USD,,65,142,1-3,,5000,,false,true,,true,false,assets/images/projects/estrella-gardens-condos.jpg
ciasa-003-bay,CIASA 003 - BAY,Lake Gardens,lake-gardens,bayahibe,"Bayahibe, La Romana",townhouse,499800,499800,USD,,178,178,3,,5000,,false,true,,true,false,assets/images/projects/lake-gardens.jpg
ciasa-001-spm,CIASA 001 - SPM,Oua Palms,oua-palms,juan-dolio,Juan Dolio,apartamento,179400,179400,USD,,97.5,97.5,2,,2000,31.6%,false,true,Diciembre 2027,true,true,assets/images/projects/oua-palms.jpg
ciasa-002-spm,CIASA 002 - SPM,Sotavento 2,sotavento-2,juan-dolio,Playa Nueva Romana,townhouse,361400,361400,USD,,135,135,2,,5000,,false,true,,true,false,assets/images/projects/sotavento-2.jpg
